Test no, Test Name, Learner, Trainer,Num Eye, Selected, Correctness, Intensity,C1, C2, C3, C4, Date, Answering Time (ms), Sexo
1, vulnerabilidad, serggio, giorgio,35, Contemplativo, Incorrecto,5, Nervioso, Perplejo, Insistente, Contemplativo, [2023-12-10 21:44(04.710)],34600, Hombre
2, vulnerabilidad, serggio, giorgio,6, Fantaseando, Correcto,5, Fantaseando, Horrorizado, Impaciente, Alarmado, [2023-12-10 21:44(16.67)],11357, Hombre
3, vulnerabilidad, serggio, giorgio,21, Fantaseando, Correcto,5, Fantaseando, Avergonzado, Aterrado, Confundido, [2023-12-10 21:44(23.251)],7183, Hombre
4, vulnerabilidad, serggio, giorgio,25, Interesado, Correcto,6, Interesado, Aterrado, Abatido, Incrédulo, [2023-12-10 21:44(30.530)],7279, Hombre
5, vulnerabilidad, serggio, giorgio,11, Arrepentido, Correcto,6, Arrepentido, Aterrorizado, Entretenido, Coqueto, [2023-12-10 21:44(40.354)],9823, Hombre
6, vulnerabilidad, serggio, giorgio,26, Hostil, Correcto,6, Hostil, Alarmado, Tímido, Ansioso, [2023-12-10 21:44(59.445)],19090, Hombre
7, vulnerabilidad, serggio, giorgio,12, Indiferente, Incorrecto,6, Escéptico, Indiferente, Avergonzado, Desanimado, [2023-12-10 21:45(05.18)],5573, Hombre
8, vulnerabilidad, serggio, giorgio,15, Contemplativo, Correcto,6, Contemplativo, Desconcertado, Alentador, Entretenido, [2023-12-10 21:45(11.518)],6499, Hombre
9, vulnerabilidad, serggio, giorgio,5, Preocupado , Correcto,7, Preocupado , Irritado, Sarcástico, Amistoso, [2023-12-10 21:45(18.228)],6709, Hombre
10, vulnerabilidad, serggio, giorgio,4,  Insistente, Correcto,6,  Insistente, Bromista  , Entretenido, Relajado, [2023-12-10 21:45(25.828)],7598, Hombre
11, vulnerabilidad, serggio, giorgio,3, Desconcertada, Incorrecto,5, Deseo, Desconcertada, Bromista, Convencida, [2023-12-10 21:45(54.398)],28570, Hombre
12, vulnerabilidad, serggio, giorgio,23, Desafiante, Correcto,6, Desafiante, Satisfecho, Arrepentido, Curioso, [2023-12-10 21:46(21.277)],26878, Hombre
13, vulnerabilidad, serggio, giorgio,28, Interesado, Correcto,6, Interesado, Bromista , Satisfecho, Cariñoso, [2023-12-10 21:46(26.43)],4766, Hombre
14, vulnerabilidad, serggio, giorgio,34, Desconfiado, Correcto,6, Desconfiado, Desconcertado, Horrorizado, Aterrorizado, [2023-12-10 21:46(34.803)],8760, Hombre
15, vulnerabilidad, serggio, giorgio,13, Tímido, Incorrecto,6, Anticipando, Decidido, Amenazante, Tímido, [2023-12-10 21:46(42.558)],7755, Hombre
16, vulnerabilidad, serggio, giorgio,30, Coqueto, Correcto,6, Coqueto, Decepcionado, Hostil, Agradecido, [2023-12-10 21:46(46.771)],4212, Hombre
17, vulnerabilidad, serggio, giorgio,33, Preocupado , Correcto,6, Preocupado , Fantaseando, Culpable, Avergonzado, [2023-12-10 21:46(52.628)],5856, Hombre
18, vulnerabilidad, serggio, giorgio,10, Cauteloso, Correcto,6, Cauteloso, Insistente, Aburrido, Horrorizado, [2023-12-10 21:46(57.714)],5086, Hombre
19, vulnerabilidad, serggio, giorgio,2, Aterrorizado, Incorrecto,6, Molesto, Aterrorizado, Arrogante , Irritado, [2023-12-10 21:47(09.82)],11368, Hombre
20, vulnerabilidad, serggio, giorgio,36, Suspicaz, Correcto,6, Suspicaz, Avergonzado, Nervioso, Indeciso, [2023-12-10 21:47(15.163)],6080, Hombre
21, vulnerabilidad, serggio, giorgio,22, Insistente, Incorrecto,6, Preocupado , Agradecido , Suplicante, Insistente, [2023-12-10 21:47(46.826)],31663, Hombre
22, vulnerabilidad, serggio, giorgio,27, Cauteloso, Correcto,6, Cauteloso, Bromista , Tranquilizador, Arrogante, [2023-12-10 21:47(53.202)],6376, Hombre
23, vulnerabilidad, serggio, giorgio,9, Preocupado , Correcto,6, Preocupado , Molesto ,  Hostil, Aterrorizado, [2023-12-10 21:47(59.546)],6343, Hombre
24, vulnerabilidad, serggio, giorgio,1, Reconfortante , Incorrecto,6, Juguetón, Reconfortante , Irritado , Aburrido, [2023-12-10 21:48(05.2)],5455, Hombre
25, vulnerabilidad, serggio, giorgio,20, Amistoso, Correcto,6, Amistoso, Dominante, Horrorizado, Culpable, [2023-12-10 21:48(12.330)],7327, Hombre
26, vulnerabilidad, serggio, giorgio,32, serio, Correcto,6, serio, Desconcertado, Avergonzado, Alarmado, [2023-12-10 21:48(18.179)],5848, Hombre
27, vulnerabilidad, serggio, giorgio,16, Comprensivo, Incorrecto,6, Reflexivo, Irritado  , Alentador, Comprensivo, [2023-12-10 21:48(23.67)],4888, Hombre
28, vulnerabilidad, serggio, giorgio,29, Reflexivo, Correcto,6, Reflexivo, Impaciente , horrorizado, Irritado, [2023-12-10 21:48(28.426)],5359, Hombre
29, vulnerabilidad, serggio, giorgio,18, Decido, Correcto,7, Decido, Entretenido, Horrorizado, aburrido, [2023-12-10 21:48(36.17)],7590, Hombre
30, vulnerabilidad, serggio, giorgio,17, Dudoso, Correcto,6, Dudoso, Cariñoso, Juguetón, Horrorizado, [2023-12-10 21:48(42.561)],6543, Hombre
